,GPA Category,"How many classes do you miss per week due to alcohol reasons, (i.e: being hungover or too tired?)","On a night out, how many alcoholic drinks do you consume?",How often do you go out partying/socialising during the week? ,Cluster_hierarchy_4
243,Very High,0,1-3,Only weekends,4
244,Medium,0,1-3,Only weekends,4
245,High,1,1-3,1,3
247,Very High,4+,3-5,2,2
248,Very High,2,3-5,1,2
249,High,1,8+,1,3
250,Low,1,1-3,1,3
251,Medium,2,1-3,2,2
252,Low,1,8+,1,1
255,Low,4+,8+,3,1
256,Medium,4+,3-5,3,2
259,Medium,2,8+,1,2
260,High,0,5-8,2,3
262,Medium,2,8+,3,2
263,Very High,2,8+,2,2
266,High,0,8+,1,3
268,Low,0,5-8,1,1
269,Very High,0,3-5,2,2
271,Medium,4+,5-8,4+,2
272,High,2,8+,1,3
273,Very High,1,1-3,1,3
274,Very High,0,8+,3,2
277,Medium,1,8+,1,2
283,Low,0,5-8,3,1
284,Medium,2,5-8,3,2
286,Low,3,5-8,2,1
287,Low,0,3-5,1,4
289,Medium,0,3-5,Only weekends,4
291,Very High,0,1-3,3,3
292,Medium,0,1-3,Only weekends,4
293,Medium,0,5-8,3,4
294,Very High,0,1-3,Only weekends,4
295,Medium,2,3-5,2,2
297,Very High,3,5-8,2,1
299,High,0,1-3,1,3
301,High,1,5-8,1,3
303,Low,4+,8+,4+,1
304,Medium,1,8+,2,2
305,Low,0,8+,1,1
306,Low,1,5-8,2,1
307,Medium,2,8+,3,2
309,High,0,3-5,2,3
310,Medium,0,3-5,0,4
311,Low,1,5-8,3,1
312,Medium,2,3-5,2,2
313,High,0,3-5,2,3
314,Very High,1,3-5,3,2
316,Low,1,5-8,1,1
317,Very High,2,8+,1,2
318,Low,0,3-5,1,4
319,High,2,5-8,1,3
320,High,2,3-5,2,3
321,Medium,1,3-5,1,1
322,Low,1,8+,2,1
324,Very High,0,1-3,1,3
326,High,0,5-8,0,4
327,Medium,3,8+,1,2
328,High,1,5-8,Only weekends,4
329,Medium,2,5-8,1,2
331,Medium,0,1-3,3,3
332,Low,0,1-3,Only weekends,4
333,Low,1,1-3,1,3
334,Low,2,5-8,2,1
336,High,0,5-8,1,3
338,Low,0,8+,4+,1
